GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
profile_doc,com.example.profiledocument.entity,ProfileSkillVideo,6,25,0,0,2,11,2,7,2,7
profile_doc,com.example.profiledocument.entity,ProfileDocument,6,25,0,0,2,11,2,7,2,7
profile_doc,com.example.profiledocument.entity,UserProfessionDetails,24,49,0,0,8,23,8,13,8,13
profile_doc,com.example.profiledocument.entity,Employee,26,0,0,0,9,0,6,0,6,0
profile_doc,com.example.profiledocument.entity,ProfileUserSkill,224,29,46,0,4,4,31,8,8,8
profile_doc,com.example.profiledocument.utility,Utility,16,13,1,1,5,4,3,2,2,2
profile_doc,com.example.profiledocument.config,FirebaseConfig,38,0,4,0,13,0,6,0,4,0
profile_doc,com.example.profiledocument.controller,UserProfessionDetailsController,87,0,2,0,26,0,5,0,4,0
profile_doc,com.example.profiledocument.controller,ProfileSkillVideoController,78,0,0,0,22,0,5,0,5,0
profile_doc,com.example.profiledocument.controller,ProfileDocumentController,78,0,0,0,22,0,5,0,5,0
profile_doc,com.example.profiledocument.controller,ProfileUserSkillController,91,0,2,0,33,0,6,0,5,0
profile_doc,com.example.profiledocument.controller,EmployeeController,19,0,2,0,6,0,3,0,2,0
profile_doc,com.example.profiledocument.service,EmployeeService,0,18,0,4,0,3,0,5,0,3
profile_doc,com.example.profiledocument.service,ProfileSkillVideoService,12,231,9,9,3,50,9,5,0,5
profile_doc,com.example.profiledocument.service,ProfileDocumentService,12,221,7,7,3,46,7,5,0,5
profile_doc,com.example.profiledocument.service,UserProfessionDetailsService,2,67,1,1,1,17,1,4,0,4
profile_doc,com.example.profiledocument.service,ProfileUserSkillService,0,109,1,5,0,29,1,7,0,5
profile_doc,com.example.profiledocument,ProfileDocApplication,8,0,0,0,3,0,2,0,2,0
